1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
2. schůze, 19. hlasování, 28. listopadu 2017, 15:27Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,12,0,0,2,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,185,0,2,5,8
2. schůze, 20. hlasování, 28. listopadu 2017, 15:28Náv. na ustavení výborů PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,25,0,0,0,0
Pirati,22,22,0,0,0,0
SPD,22,21,0,0,0,1
CSSD,15,12,0,1,0,2
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,187,0,2,3,8
2. schůze, 21. hlasování, 28. listopadu 2017, 17:05Návrh na potvrzení platnosti usnesení, kterými Poslanecká sněmovna upr
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,69,0,2,6,1
ODS,25,19,0,0,6,0
Pirati,22,16,0,1,4,1
SPD,22,21,0,0,0,1
CSSD,15,8,0,1,3,3
KSCM,15,12,0,0,2,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,164,0,4,22,10
2. schůze, 22. hlasování, 28. listopadu 2017, 17:12Náv. zasedacího pořádku poslanců v jedn. sále PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,0,6,68,2
ODS,25,0,0,2,23,0
Pirati,22,16,0,1,4,1
SPD,22,0,0,1,20,1
CSSD,15,8,0,3,0,4
KSCM,15,0,0,2,12,1
KDU-CSL,10,3,0,0,6,1
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,1,0
Celkem,200,38,0,15,135,12
2. schůze, 23. hlasování, 28. listopadu 2017, 17:13Náv. zasedacího pořádku poslanců v jedn. sále PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,0,5,69,2
ODS,25,0,0,2,23,0
Pirati,22,21,0,0,0,1
SPD,22,0,0,0,21,1
CSSD,15,8,0,3,0,4
KSCM,15,0,0,2,12,1
KDU-CSL,10,4,0,0,5,1
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,45,0,12,131,12
2. schůze, 24. hlasování, 28. listopadu 2017, 17:14Náv. zasedacího pořádku poslanců v jedn. sále PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,4,10,2
ODS,25,0,0,2,23,0
Pirati,22,0,1,0,20,1
SPD,22,21,0,0,0,1
CSSD,15,0,0,3,8,4
KSCM,15,10,0,2,2,1
KDU-CSL,10,0,0,0,9,1
TOP09,7,0,2,0,3,2
STAN,6,0,0,0,6,0
Celkem,200,93,3,11,81,12
2. schůze, 25. hlasování, 28. listopadu 2017, 17:14Náv. zasedacího pořádku poslanců v jedn. sále PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,66,0,2,8,2
ODS,25,1,0,3,21,0
Pirati,22,0,20,0,1,1
SPD,22,21,0,0,0,1
CSSD,15,1,2,3,5,4
KSCM,15,12,0,1,1,1
KDU-CSL,10,0,1,0,8,1
TOP09,7,0,3,0,2,2
STAN,6,0,3,0,3,0
Celkem,200,101,29,9,49,12
2. schůze, 26. hlasování, 28. listopadu 2017, 17:39Návrh na zřízení stálých komisí PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,73,0,1,2,2
ODS,25,16,0,3,6,0
Pirati,22,20,0,0,1,1
SPD,22,21,0,0,0,1
CSSD,15,9,0,1,1,4
KSCM,15,14,0,0,0,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,1,1,0,3,2
STAN,6,6,0,0,0,0
Celkem,200,169,1,5,13,12
2. schůze, 27. hlasování, 28. listopadu 2017, 17:43Návrh na zřízení SK GIBS a způsobu jejího ustavení nebo volby
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,74,0,1,2,1
ODS,25,0,15,3,7,0
Pirati,22,1,18,0,2,1
SPD,22,21,0,0,0,1
CSSD,15,0,9,1,1,4
KSCM,15,12,0,0,2,1
