1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,50,0,1,11,16
ODS,23,15,0,0,5,3
Pirati,22,0,4,0,16,2
SPD,19,10,0,1,4,4
CSSD,15,3,2,2,2,6
KSCM,15,3,6,0,4,2
KDU-CSL,10,2,0,0,4,4
TOP09,7,3,0,1,1,2
STAN,6,3,0,0,0,3
Celkem,200,92,12,5,47,44
40. schůze, 338. hlasování, 2. března 2020, 13:14
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,0,78,0,0
ODS,23,0,0,23,0,0
Pirati,22,0,0,22,0,0
SPD,19,0,0,19,0,0
CSSD,14,0,0,14,0,0
KSCM,15,0,0,15,0,0
KDU-CSL,10,0,0,10,0,0
TOP09,7,0,0,7,0,0
STAN,6,0,0,6,0,0
Celkem,200,0,0,200,0,0
41. schůze, 1. hlasování, 3. března 2020, 14:02
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,8,4,7
ODS,23,8,0,9,0,6
Pirati,22,15,0,3,0,4
SPD,19,11,0,7,0,1
CSSD,14,4,0,9,0,1
KSCM,15,9,0,6,0,0
KDU-CSL,10,5,0,3,0,2
TOP09,7,3,0,2,1,1
STAN,6,3,0,1,0,2
Celkem,200,119,0,50,5,26
41. schůze, 2. hlasování, 3. března 2020, 15:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,0,4,7
ODS,23,18,0,0,0,5
Pirati,22,17,0,0,1,4
SPD,19,18,0,0,0,1
CSSD,14,11,0,0,2,1
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,5,0,0,1,1
STAN,6,3,0,0,1,2
Celkem,200,163,0,1,11,25
41. schůze, 3. hlasování, 3. března 2020, 15:12Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,9,0,60,7
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,0,0,0,18,1
CSSD,14,0,0,0,13,1
KSCM,15,1,0,0,14,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,5,0,0,1,1
STAN,6,4,0,0,0,2
Celkem,200,55,10,1,109,25
41. schůze, 4. hlasování, 3. března 2020, 15:13Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,0,5,64,7
ODS,23,17,0,0,1,5
Pirati,22,18,0,0,0,4
SPD,19,16,0,0,2,1
CSSD,14,0,0,2,11,1
KSCM,15,6,0,0,9,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,79,0,9,87,25
41. schůze, 5. hlasování, 3. března 2020, 15:14Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,0,4,65,7
ODS,23,18,0,0,0,5
Pirati,22,16,0,0,2,4
SPD,19,17,1,0,0,1
CSSD,14,0,0,2,11,1
KSCM,15,5,0,0,10,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,3,0,0,3,1
STAN,6,4,0,0,0,2
Celkem,200,75,1,8,91,25
41. schůze, 6. hlasování, 3. března 2020, 15:15Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,38,1,32,7
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,18,0,0,0,1
CSSD,14,0,7,1,5,1
KSCM,15,0,10,0,5,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,72,55,4,44,25
41. schůze, 7. hlasování, 3. března 2020, 15:16Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,23,13,1,34,7
ODS,23,1,3,0,14,5
Pirati,22,18,0,0,0,4
SPD,19,1,17,0,0,1
CSSD,14,4,2,2,5,1
KSCM,15,1,9,0,5,0
KDU-CSL,10,0,3,1,4,2
TOP09,7,2,0,1,3,1
STAN,6,4,0,0,0,2
Celkem,200,54,51,5,65,25
41. schůze, 8. hlasování, 3. března 2020, 15:17Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,26,13,1,31,7
ODS,23,0,2,0,16,5
Pirati,22,18,0,0,0,4
SPD,19,1,17,0,0,1
CSSD,14,4,2,2,5,1
KSCM,15,0,9,0,6,0
KDU-CSL,10,0,2,1,5,2
TOP09,7,2,0,1,3,1
STAN,6,2,0,0,2,2
Celkem,200,53,49,5,68,25
41. schůze, 9. hlasování, 3. března 2020, 15:18Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,6,0,1,64,7
ODS,23,18,0,0,0,5
Pirati,22,17,0,0,1,4
SPD,19,18,0,0,0,1
CSSD,14,0,1,1,11,1
KSCM,15,14,0,0,1,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,1,0,0,5,1
STAN,6,4,0,0,0,2
Celkem,200,89,1,3,82,25
41. schůze, 10. hlasování, 3. března 2020, 15:19Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,5,13,1,52,7
ODS,23,5,1,0,12,5
Pirati,22,16,0,0,2,4
SPD,19,17,0,0,1,1
CSSD,14,0,4,1,8,1
KSCM,15,15,0,0,0,0
KDU-CSL,10,6,0,1,1,2
TOP09,7,2,0,0,4,1
STAN,6,3,0,0,1,2
Celkem,200,73,18,3,81,25
41. schůze, 11. hlasování, 3. března 2020, 15:19Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,4,2,1,64,7
ODS,23,18,0,0,0,5
Pirati,22,17,0,0,1,4
SPD,19,17,0,0,1,1
CSSD,14,0,0,0,13,1
KSCM,15,14,0,0,1,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,91,2,2,80,25
41. schůze, 12. hlasování, 3. března 2020, 15:20Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,27,1,42,7
ODS,23,18,0,0,0,5
Pirati,22,17,0,0,1,4
SPD,19,18,0,0,0,1
CSSD,14,1,4,0,8,1
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,91,31,2,51,25
41. schůze, 13. hlasování, 3. března 2020, 15:21Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,1,7,7
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,18,0,0,0,1
CSSD,14,11,0,0,2,1
KSCM,15,13,0,0,2,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,161,0,2,12,25
41. schůze, 14. hlasování, 3. března 2020, 15:22Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,4,1,66,7
ODS,23,18,0,0,0,5
Pirati,22,17,0,0,1,4
SPD,19,18,0,0,0,1
CSSD,14,3,1,0,9,1
KSCM,15,14,0,0,1,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,89,5,2,79,25
41. schůze, 15. hlasování, 3. března 2020, 15:23Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,10,1,60,7
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,17,0,0,1,1
CSSD,14,2,1,0,10,1
KSCM,15,15,0,0,0,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,5,0,0,1,1
STAN,6,4,0,0,0,2
Celkem,200,89,11,2,73,25
41. schůze, 16. hlasování, 3. března 2020, 15:24Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,8,1,62,7
ODS,23,0,0,0,18,5
Pirati,22,1,6,0,11,4
SPD,19,18,0,0,0,1
CSSD,14,0,6,0,7,1
KSCM,15,3,1,0,11,0
KDU-CSL,10,1,0,1,6,2
TOP09,7,1,0,0,5,1
STAN,6,0,0,0,4,2
Celkem,200,28,21,2,124,25
41. schůze, 17. hlasování, 3. března 2020, 15:24Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,32,1,38,7
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,0,0,0,18,1
CSSD,14,2,2,0,9,1
KSCM,15,0,0,0,15,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,55,34,2,84,25
41. schůze, 18. hlasování, 3. března 2020, 15:25Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,70,0,1,0,7
ODS,23,16,1,0,1,5
Pirati,22,12,0,0,6,4
SPD,19,18,0,0,0,1
CSSD,14,12,0,0,1,1
KSCM,15,13,0,0,2,0
KDU-CSL,10,5,0,1,2,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,159,1,2,13,25
41. schůze, 19. hlasování, 3. března 2020, 18:05Novela z. o majetku České republiky
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,69,0,2,0,7
ODS,23,0,13,5,0,5
Pirati,22,15,0,0,3,4
SPD,19,15,0,2,0,2
CSSD,14,7,0,6,0,1
KSCM,15,12,0,2,0,1
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,0,0,6,1
STAN,6,1,0,1,2,2
Celkem,200,121,22,19,11,27
41. schůze, 20. hlasování, 3. března 2020, 18:24Novela z. o Státním fondu rozvoje bydlení
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,71,0,0,0,7
ODS,23,0,15,2,1,5
Pirati,22,0,3,0,15,4
SPD,19,15,0,2,0,2
CSSD,14,10,0,3,0,1
KSCM,15,12,0,2,0,1
KDU-CSL,10,6,0,1,2,1
TOP09,7,0,1,0,5,1
STAN,6,0,0,0,4,2
Celkem,200,116,19,11,27,27
41. schůze, 21. hlasování, 3. března 2020, 18:49Novela z. - trestní zákoník
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,1,4,8
ODS,23,10,0,2,6,5
Pirati,22,18,0,0,0,4
SPD,19,15,0,0,2,2
CSSD,14,9,0,1,2,2
KSCM,15,9,0,0,5,1
KDU-CSL,10,4,0,1,3,2
TOP09,7,4,0,0,2,1
STAN,6,2,0,0,2,2
Celkem,200,138,0,6,26,30
41. schůze, 22. hlasování, 3. března 2020, 18:56Novela z. - trestní zákoník
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,5,6,7
ODS,23,12,2,4,0,5
Pirati,22,16,0,0,2,4
SPD,19,14,0,0,3,2
CSSD,14,11,0,1,0,2
KSCM,15,6,1,0,7,1
KDU-CSL,10,4,1,1,2,2
TOP09,7,5,0,0,1,1
STAN,6,3,0,0,1,2
Celkem,200,133,4,12,22,29
41. schůze, 23. hlasování, 4. března 2020, 09:07Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,0,6,0,11
ODS,23,0,0,7,11,5
Pirati,22,14,0,1,1,6
SPD,19,11,1,3,1,3
CSSD,14,8,0,3,0,3
KSCM,15,11,0,4,0,0
KDU-CSL,10,5,0,3,0,2
TOP09,7,5,0,0,0,2
STAN,6,3,0,2,0,1
Celkem,200,119,1,31,14,35
41. schůze, 24. hlasování, 4. března 2020, 09:08Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,5,2,11
ODS,23,0,0,5,13,5
Pirati,22,14,0,1,1,6
SPD,19,0,0,3,13,3
CSSD,14,8,0,3,0,3
KSCM,15,11,0,4,0,0
KDU-CSL,10,6,0,2,0,2
TOP09,7,5,0,0,0,2
STAN,6,3,0,2,0,1
Celkem,200,108,0,27,30,35
41. schůze, 25. hlasování, 4. března 2020, 09:09Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,5,3,11
ODS,23,13,0,5,0,5
Pirati,22,13,0,1,2,6
SPD,19,12,0,3,1,3
CSSD,14,8,0,3,1,2
KSCM,15,11,0,4,0,0
KDU-CSL,10,6,0,2,0,2
TOP09,7,5,0,0,0,2
STAN,6,4,0,1,0,1
Celkem,200,132,0,25,9,34
41. schůze, 26. hlasování, 4. března 2020, 09:29Inf.vl.-Řecko-TUR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,50,0,4,14,10
ODS,23,9,0,5,4,5
Pirati,22,13,0,0,5,4
SPD,19,14,0,1,1,3
CSSD,14,8,0,1,3,2
KSCM,15,11,0,2,2,0
KDU-CSL,10,5,0,1,2,2
TOP09,7,2,0,0,3,2
STAN,6,2,0,0,3,1
Celkem,200,115,0,15,39,31
41. schůze, 27. hlasování, 4. března 2020, 11:41Inf.MV-pomoc Řecku
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,2,0,9
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,16,0,0,0,3
CSSD,14,10,0,1,0,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,163,0,6,0,31
41. schůze, 28. hlasování, 4. března 2020, 11:41Inf.MV-pomoc Řecku
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,68,0,1,0,9
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,16,0,0,0,3
CSSD,14,10,0,1,0,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,164,0,5,0,31
41. schůze, 29. hlasování, 4. března 2020, 11:42Inf.MV-pomoc Řecku
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,0,5,9
ODS,23,18,0,0,0,5
Pirati,22,18,0,0,0,4
SPD,19,0,0,0,16,3
CSSD,14,9,0,1,1,3
KSCM,15,14,0,0,0,1
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,140,0,4,25,31
41. schůze, 30. hlasování, 4. března 2020, 11:43Inf.MV-pomoc Řecku
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,4,0,65,9
ODS,23,0,0,0,18,5
Pirati,22,18,0,0,0,4
SPD,19,0,0,0,16,3
CSSD,14,0,0,2,9,3
KSCM,15,1,0,1,12,1
KDU-CSL,10,3,0,0,5,2
TOP09,7,5,0,1,0,1
STAN,6,1,0,1,3,1
Celkem,200,28,4,6,131,31
41. schůze, 31. hlasování, 4. března 2020, 11:51Novela z. o ochraně spotřebitele - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,0,5,9
ODS,23,13,0,0,5,5
Pirati,22,13,0,1,4,4
SPD,19,14,0,1,1,3
CSSD,14,7,0,1,3,3
KSCM,15,13,0,0,1,1
KDU-CSL,10,5,0,0,3,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,140,0,6,23,31
41. schůze, 32. hlasování, 4. března 2020, 11:51Novela z. o ochraně spotřebitele - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,66,0,0,3,9
ODS,23,13,0,0,5,5
Pirati,22,17,0,0,1,4
SPD,19,16,0,0,0,3
CSSD,14,6,0,1,4,3
KSCM,15,13,0,0,1,1
KDU-CSL,10,6,0,0,2,2
TOP09,7,4,0,1,1,1
STAN,6,4,0,1,0,1
Celkem,200,148,0,4,17,31
41. schůze, 33. hlasování, 4. března 2020, 11:52Novela z. o ochraně spotřebitele - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,1,3,9
ODS,23,13,0,0,5,5
Pirati,22,17,0,0,1,4
SPD,19,16,0,0,0,3
CSSD,14,7,0,1,3,3
KSCM,15,12,0,0,2,1
KDU-CSL,10,7,0,0,1,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,149,0,5,15,31
41. schůze, 34. hlasování, 4. března 2020, 11:53Novela z. o ochraně spotřebitele - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,1,1,9
ODS,23,13,0,0,5,5
Pirati,22,16,0,0,2,4
SPD,19,16,0,0,0,3
CSSD,14,7,0,1,3,3
KSCM,15,13,0,0,1,1
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,1,0,1
Celkem,200,150,0,5,14,31
41. schůze, 35. hlasování, 4. března 2020, 12:02Novela z. o pojistném na veřejné zdravotní pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,66,0,2,1,9
ODS,23,17,0,0,1,5
Pirati,22,0,17,0,1,4
SPD,19,1,15,0,0,3
CSSD,14,0,0,2,9,3
KSCM,15,0,14,0,0,1
KDU-CSL,10,0,0,0,8,2
TOP09,7,0,4,0,2,1
STAN,6,0,0,2,3,1
Celkem,200,84,50,8,27,31
41. schůze, 36. hlasování, 4. března 2020, 12:51Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,68,0,1,0,9
ODS,23,17,0,1,0,5
Pirati,22,18,0,0,0,4
SPD,19,14,0,2,0,3
CSSD,14,9,0,2,0,3
KSCM,15,14,0,1,0,0
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,1,0,1
Celkem,200,160,0,11,0,29
41. schůze, 37. hlasování, 4. března 2020, 12:52Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,1,1,9
ODS,23,1,0,1,16,5
Pirati,22,18,0,0,0,4
SPD,19,14,0,2,0,3
CSSD,14,9,0,2,0,3
KSCM,15,13,0,1,1,0
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,1,0,1
Celkem,200,140,0,11,20,29
41. schůze, 38. hlasování, 4. března 2020, 12:53Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,62,1,5,9
ODS,23,0,18,0,0,5
Pirati,22,0,18,0,0,4
SPD,19,0,14,2,0,3
CSSD,14,0,8,2,1,3
KSCM,15,0,2,1,12,0
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,4,2,0,1
STAN,6,0,4,1,0,1
Celkem,200,3,140,10,18,29
41. schůze, 39. hlasování, 4. března 2020, 12:53Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,62,1,6,9
ODS,23,0,17,0,1,5
Pirati,22,0,18,0,0,4
SPD,19,0,14,2,0,3
CSSD,14,0,9,2,0,3
KSCM,15,0,3,1,11,0
KDU-CSL,10,0,9,0,0,1
TOP09,7,0,4,2,0,1
STAN,6,0,4,1,0,1
Celkem,200,2,141,10,18,29
41. schůze, 40. hlasování, 4. března 2020, 12:54Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,5,0,1,63,9
ODS,23,0,15,0,3,5
Pirati,22,0,18,0,0,4
SPD,19,14,0,2,0,3
CSSD,14,0,2,2,7,3
KSCM,15,0,1,1,13,0
KDU-CSL,10,0,0,0,9,1
TOP09,7,0,4,2,0,1
STAN,6,0,0,1,4,1
Celkem,200,20,42,10,99,29
41. schůze, 41. hlasování, 4. března 2020, 12:55Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,68,0,1,0,9
ODS,23,0,3,0,15,5
Pirati,22,17,0,0,1,4
SPD,19,14,0,2,0,3
CSSD,14,9,0,2,0,3
KSCM,15,13,0,1,1,0
KDU-CSL,10,8,0,0,1,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,1,0,1
Celkem,200,140,3,10,18,29
41. schůze, 42. hlasování, 4. března 2020, 12:56Novela z. o obecní policii
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,68,0,1,0,9
ODS,23,0,4,0,14,5
Pirati,22,18,0,0,0,4
SPD,19,14,0,2,0,3
CSSD,14,9,0,2,0,3
KSCM,15,14,0,1,0,0
KDU-CSL,10,9,0,0,0,1
TOP09,7,4,0,2,0,1
STAN,6,4,0,1,0,1
Celkem,200,141,4,10,16,29
41. schůze, 43. hlasování, 4. března 2020, 15:38Novela z. - živnostenský zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,55,6,8,9
ODS,23,8,0,6,1,8
Pirati,22,5,2,0,10,5
SPD,19,0,15,2,0,2
CSSD,14,1,3,2,4,4
KSCM,15,2,0,4,9,0
KDU-CSL,10,5,0,2,1,2
TOP09,7,0,1,0,4,2
STAN,6,4,0,1,0,1
Celkem,200,25,77,24,37,37
41. schůze, 44. hlasování, 4. března 2020, 15:39Novela z. - živnostenský zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,4,0,9
ODS,23,9,0,5,1,8
Pirati,22,1,3,0,13,5
SPD,19,15,0,2,0,2
CSSD,14,8,0,2,0,4
KSCM,15,11,0,4,0,0
KDU-CSL,10,6,0,2,0,2
TOP09,7,5,0,0,0,2
STAN,6,4,0,1,0,1
Celkem,200,125,3,21,14,37
41. schůze, 45. hlasování, 4. března 2020, 16:24Novela z. o silniční dopravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,58,4,7,9
ODS,23,12,0,2,0,9
Pirati,22,16,0,1,0,5
SPD,19,0,0,4,12,3
CSSD,14,0,6,3,2,3
KSCM,15,0,10,2,3,0
KDU-CSL,10,8,0,0,0,2
TOP09,7,4,0,2,0,1
STAN,6,4,0,0,0,2
Celkem,200,45,74,19,24,38
41. schůze, 46. hlasování, 4. března 2020, 18:04Novela z. o silniční dopravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,57,3,6,10
ODS,23,14,0,0,0,9
Pirati,22,17,0,1,0,4
SPD,19,7,0,1,7,4
CSSD,14,0,5,4,0,5
KSCM,15,4,6,4,1,0
KDU-CSL,10,0,2,2,4,2
TOP09,7,6,0,0,0,1
STAN,6,4,0,0,0,2
Celkem,200,55,70,15,18,42
41. schůze, 47. hlasování, 4. března 2020, 18:05Novela z. o silniční dopravě - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,3,0,10
ODS,23,14,0,0,0,9
Pirati,22,16,0,1,1,4
SPD,19,14,0,1,0,4
CSSD,14,6,0,3,0,5
KSCM,15,10,0,3,2,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,4,0,0,2,1
STAN,6,0,0,0,4,2
Celkem,200,137,0,12,9,42
41. schůze, 48. hlasování, 4. března 2020, 18:23Vl.n.z. o náhradě újmy způs.povinným očkováním
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,3,1,11
ODS,23,9,0,3,1,10
Pirati,22,17,0,1,0,4
SPD,19,15,0,0,0,4
CSSD,14,6,0,3,0,5
KSCM,15,14,0,1,0,0
KDU-CSL,10,8,0,0,0,2
TOP09,7,5,0,1,0,1
STAN,6,4,0,0,0,2
Celkem,200,142,0,12,2,44
41. schůze, 49. hlasování, 4. března 2020, 18:27Novela z. o oceňování majetku
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,58,0,4,6,10
ODS,23,10,0,3,0,10
Pirati,22,17,0,1,0,4
SPD,19,13,0,1,1,4
CSSD,14,7,0,2,0,5
KSCM,15,12,0,1,2,0
KDU-CSL,10,7,0,1,0,2
TOP09,7,4,0,1,1,1
STAN,6,3,0,0,1,2
Celkem,200,132,0,14,11,43
41. schůze, 50. hlasování, 4. března 2020, 18:46Vládní návrh zákona o sčítání lidu, domů a bytů v roce 2021 - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,45,1,5,17,10
ODS,23,9,0,3,1,10
Pirati,22,12,0,2,4,4
SPD,19,12,0,0,3,4
CSSD,14,4,0,3,2,5
KSCM,15,11,0,1,3,0
KDU-CSL,10,2,0,0,5,3
TOP09,7,2,0,1,3,1
STAN,6,3,0,0,1,2
Celkem,200,101,1,15,39,44
41. schůze, 51. hlasování, 4. března 2020, 18:48Vládní návrh zákona o sčítání lidu, domů a bytů v roce 2021 - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,51,0,4,13,10
ODS,23,7,0,3,3,10
Pirati,22,14,0,2,2,4
SPD,19,12,0,0,3,4
CSSD,14,5,0,3,1,5
KSCM,15,7,1,2,5,0
KDU-CSL,10,4,0,0,3,3
TOP09,7,2,0,1,3,1
STAN,6,3,0,0,1,2
Celkem,200,106,1,15,34,44
41. schůze, 52. hlasování, 5. března 2020, 09:40Písemná interpelace Z. Ondráčka na J. Hamáčka ve věci údajného prodeje
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,4,20,24,28
ODS,23,0,0,11,4,8
Pirati,22,16,0,0,0,6
SPD,19,5,0,10,0,4
CSSD,14,0,4,3,0,7
KSCM,15,8,0,6,0,1
KDU-CSL,10,0,0,4,2,4
TOP09,7,1,0,3,0,3
STAN,6,1,0,2,1,2
Celkem,200,35,8,61,31,65
41. schůze, 53. hlasování, 5. března 2020, 10:09Písemná interpelace J. Zahradníka na A. Babiše ve věci energetické bez
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,16,19,16,27
ODS,23,3,0,12,0,8
Pirati,22,14,0,3,0,5
SPD,19,6,0,10,0,3
CSSD,14,0,0,4,3,7
KSCM,15,1,0,9,4,1
KDU-CSL,10,3,0,3,0,4
TOP09,7,1,0,3,0,3
STAN,6,3,0,1,0,2
Celkem,200,33,16,65,23,63
41. schůze, 54. hlasování, 5. března 2020, 10:11Písemná interpelace J. Michálka na A. Babiše ve věci Mohl byste mi pro
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,7,1,18,25,27
ODS,23,3,0,12,0,8
Pirati,22,15,0,1,1,5
SPD,19,5,0,10,1,3
CSSD,14,0,0,5,2,7
KSCM,15,4,0,9,1,1
KDU-CSL,10,0,0,3,3,4
TOP09,7,2,0,2,0,3
STAN,6,3,0,1,0,2
Celkem,200,41,1,62,33,63
41. schůze, 55. hlasování, 5. března 2020, 11:45Souhrnná zpráva o činnosti VOP za rok 2018
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,36,2,4,14,22
ODS,23,11,0,4,0,8
Pirati,22,17,0,1,0,4
SPD,19,0,17,0,0,2
CSSD,14,7,0,1,0,6
KSCM,15,10,0,2,2,1
KDU-CSL,10,5,0,3,0,2
TOP09,7,4,0,2,0,1
STAN,6,3,0,2,0,1
Celkem,200,93,20,19,18,50
